"filename", "language", "pip requirements", "Properties", "Python", "HTML", "comment", "blank", "total"
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\.env", "Properties", 0, 4, 0, 0, 4, 0, 8
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\config\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\config\asgi.py", "Python", 0, 0, 4, 0, 8, 5, 17
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\config\settings.py", "Python", 0, 0, 73, 0, 30, 33, 136
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\config\urls.py", "Python", 0, 0, 10, 0, 16, 2, 28
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\config\wsgi.py", "Python", 0, 0, 4, 0, 8, 5, 17
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\manage.py", "Python", 0, 0, 15, 0, 3, 5, 23
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\admin.py", "Python", 0, 0, 5, 0, 0, 2, 7
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\apps.py", "Python", 0, 0, 4, 0, 0, 3, 7
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\migrations\0001_initial.py", "Python", 0, 0, 35, 0, 1, 7, 43
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\models.py", "Python", 0, 0, 26, 0, 1, 7, 34
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\tests.py", "Python", 0, 0, 1, 0, 1, 2, 4
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\urls.py", "Python", 0, 0, 6, 0, 0, 2, 8
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\utils.py", "Python", 0, 0, 7, 0, 9, 6, 22
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\plaid_link\views.py", "Python", 0, 0, 73, 0, 10, 20, 103
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\requirements.txt", "pip requirements", 44, 0, 0, 0, 0, 1, 45
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\templates\base.html", "HTML", 0, 0, 0, 12, 1, 1, 14
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\templates\dashboard.html", "HTML", 0, 0, 0, 40, 2, 9, 51
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\templates\home.html", "HTML", 0, 0, 0, 18, 0, 1, 19
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\templates\registration\login.html", "HTML", 0, 0, 0, 46, 0, 3, 49
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\templates\registration\register.html", "HTML", 0, 0, 0, 61, 0, 4, 65
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\admin.py", "Python", 0, 0, 21, 0, 1, 3, 25
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\apps.py", "Python", 0, 0, 4, 0, 0, 3, 7
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\forms.py", "Python", 0, 0, 20, 0, 0, 6, 26
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\migrations\0001_initial.py", "Python", 0, 0, 27, 0, 1, 7, 35
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\models.py", "Python", 0, 0, 26, 0, 4, 8, 38
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\templatetags\form_tags.py", "Python", 0, 0, 5, 0, 1, 3, 9
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\tests.py", "Python", 0, 0, 1, 0, 1, 2, 4
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\urls.py", "Python", 0, 0, 7, 0, 0, 1, 8
"c:\Users\xavie\OneDrive\Desktop\findash-mvp\users\views.py", "Python", 0, 0, 19, 0, 1, 4, 24
"Total", "-", 44, 4, 393, 177, 103, 161, 882